,Well,Qi_50,b_50,Qi_90,Qi_10
265,5103070430000,1200.0,0.0,1200.0,1200.0
266,5103070140000,780.0,0.0,780.0,780.0
267,5103070080000,75.0,0.0,75.0,75.0
268,5103064260000,1434.0,0.0,1434.0,1434.0
269,5103064180000,1131.0,0.0,1131.0,1131.0
270,5103064140000,2.0,0.0,2.0,2.0
271,5103064130000,78.0,0.0,78.0,78.0
272,5103063330000,650.0,0.0,650.0,650.0
273,5103063220000,1383.0,0.0,1383.0,1383.0
274,5103062930000,487.0,0.0,487.0,487.0
275,5103062900000,731.0,0.0,731.0,731.0
276,5103062790000,877.0,0.0,877.0,877.0
277,5103062770000,478.0,0.0,478.0,478.0
278,5103062750000,842.0,0.0,842.0,842.0
279,5103062690000,874.0,0.0,874.0,874.0
280,5103062450000,1579.0,0.0,1579.0,1579.0
281,5103062400000,1509.0,0.0,1509.0,1509.0
282,5103062380000,1034.0,0.0,1034.0,1034.0
283,5103062260000,268.0,0.0,268.0,268.0
284,5103062240000,146.0,0.0,146.0,146.0
285,5103062170000,111.0,0.0,111.0,111.0
286,5103062140000,935.0,0.0,935.0,935.0
287,5103062130000,117.0,0.0,117.0,117.0
288,5103062100000,308.0,0.0,308.0,308.0
289,5103062070000,457.0,0.0,457.0,457.0
290,5103062060000,198.0,0.0,198.0,198.0
291,5103062040000,207.0,0.0,207.0,207.0
292,5103062030000,124.0,0.0,124.0,124.0
293,5103061820000,459.0,0.0,459.0,459.0
294,5103061790000,3.0,0.0,3.0,3.0
295,5103061760000,1369.0,0.0,1369.0,1369.0
296,5103061750000,325.0,0.0,325.0,325.0
297,5103061730000,302.0,0.0,302.0,302.0
298,5103061680000,578.0,0.0,578.0,578.0
299,5103061620000,413.0,0.0,413.0,413.0
300,5103061560000,721.0,0.0,721.0,721.0
301,5103061540000,1386.0,0.0,1386.0,1386.0
302,5103061520000,1023.0,0.0,1023.0,1023.0
303,5103061470000,1453.0,0.0,1453.0,1453.0
304,5103061450000,1030.0,0.0,1030.0,1030.0
305,5103061420000,1062.0,0.0,1062.0,1062.0
306,5103061390000,1146.0,0.0,1146.0,1146.0
307,5103061370000,1410.0,0.0,1410.0,1410.0
308,5103061290000,1752.0,0.0,1752.0,1752.0
309,5103061260000,328.0,0.0,328.0,328.0
310,5103061130000,707.0,0.0,707.0,707.0
311,5103060870000,81.0,0.0,81.0,81.0
312,5103060440000,497.0,0.0,497.0,497.0
313,5103060260000,664.0,0.0,664.0,664.0
314,5103060110000,385.0,0.0,385.0,385.0
315,5103060090000,1175.0,0.0,1175.0,1175.0
316,5103058260000,476.0,0.0,476.0,476.0
317,5103058190000,497.0,0.0,497.0,497.0
318,5103058180000,568.0,0.0,568.0,568.0
319,5103058160000,772.0,0.0,772.0,772.0
320,5103057990000,981.0,0.0,981.0,981.0
321,5103057960000,816.0,0.0,816.0,816.0
322,5103057940000,1764.0,0.0,1764.0,1764.0
323,5103057870000,1222.0,0.0,1222.0,1222.0
324,5103057810000,11.0,0.0,11.0,11.0
325,5103057670000,87.0,0.0,87.0,87.0
326,5103057620000,1094.0,0.0,1094.0,1094.0
327,5103057450000,1022.0,0.0,1022.0,1022.0
328,5103057420000,858.0,0.0,858.0,858.0
329,5103057410000,789.0,0.0,789.0,789.0
330,5103057380000,133.0,0.0,133.0,133.0
331,5103057350000,311.0,0.0,311.0,311.0
332,5103057330000,838.0,0.0,838.0,838.0
333,5103057320000,1745.0,0.0,1745.0,1745.0
334,5103057200000,442.0,0.0,442.0,442.0
335,5103057160000,680.0,0.0,680.0,680.0
336,5103057150000,1054.0,0.0,1054.0,1054.0
337,5103057130000,1101.0,0.0,1101.0,1101.0
338,5103057070000,905.0,0.0,905.0,905.0
339,5103056990000,21.0,0.0,21.0,21.0
340,5103056970000,933.0,0.0,933.0,933.0
341,5103056940000,1109.0,0.0,1109.0,1109.0
342,5103056930000,886.0,0.0,886.0,886.0
343,5103056920000,499.0,0.0,499.0,499.0
344,5103056890000,480.0,0.0,480.0,480.0
345,5103056870000,1096.0,0.0,1096.0,1096.0
346,5103056860000,923.0,0.0,923.0,923.0
347,5103056830000,269.0,0.0,269.0,269.0
348,5103056730000,940.0,0.0,940.0,940.0
349,5103056690000,1137.0,0.0,1137.0,1137.0
350,5103056620000,623.0,0.0,623.0,623.0
351,5103056590000,1096.0,0.0,1096.0,1096.0
352,5103056570000,56.0,0.0,56.0,56.0
353,5103056530000,641.0,0.0,641.0,641.0
354,5103056510000,454.0,0.0,454.0,454.0
355,5103056490000,662.0,0.0,662.0,662.0
356,5103056390000,778.0,0.0,778.0,778.0
357,5103056000000,564.0,0.0,564.0,564.0
358,5103055960000,1743.0,0.0,1743.0,1743.0
359,5103055930000,330.0,0.0,330.0,330.0
360,5103055910000,316.0,0.0,316.0,316.0
361,5103055680000,550.0,0.0,550.0,550.0
362,5103055110100,443.0,0.0,443.0,443.0
363,5103055100000,73.0,0.0,73.0,73.0
364,5103055050000,1412.0,0.0,1412.0,1412.0
365,5103054940000,609.0,0.0,609.0,609.0
366,5103054820000,301.0,0.0,301.0,301.0
367,5103054760000,2058.0,0.0,2058.0,2058.0
368,5103054590000,113.0,0.0,113.0,113.0
369,5103010760000,631.0,0.0,631.0,631.0
370,5103010690000,785.0,0.0,785.0,785.0
371,5103010620000,1080.0,0.0,1080.0,1080.0
372,5103010580000,507.0,0.0,507.0,507.0
373,5103010480000,1107.0,0.0,1107.0,1107.0
374,5103010400000,301.0,0.0,301.0,301.0
375,5103010390000,612.0,0.0,612.0,612.0
376,5103010380000,921.0,0.0,921.0,921.0
377,5103010350000,958.0,0.0,958.0,958.0
378,5103010320000,175.0,0.0,175.0,175.0
379,5103010240000,525.0,0.0,525.0,525.0
380,5103010140000,1272.0,0.0,1272.0,1272.0
381,5103010090000,441.0,0.0,441.0,441.0
